Date,Ciliates_TA,Cyano_TA,Diatoms_TA,Chloro_TA,Crypto_TA,Chryso_TA,Hapto_TA,Dino_TA,Phyto_TA,Ciliates_TB,Cyano_TB,Diatoms_TB,Chloro_TB,Crypto_TB,Chryso_TB,Hapto_TB,Dino_TB,Phyto_TB,Ciliates_RA,Cyano_RA,Diatoms_RA,Chloro_RA,Crypto_RA,Chryso_RA,Hapto_RA,Dino_RA,Ciliates_RB,Cyano_RB,Diatoms_RB,Chloro_RB,Crypto_RB,Chryso_RB,Hapto_RB,Dino_RB,Phyto_H
16/01/2017,2.2619,2.2619,98.0178,21.1115,7.5399,0,0,0.754,131.95,1.879715693,0.340316969,13.78979679,4.213587887,5.644896928,0,0,0.75690075,26.63,1.71,1.71,74.29,16,5.71,0,0,0.57,7.06,1.28,51.79,15.83,21.2,0,0,2.84,2.102313412
27/02/2017,0.754,0,85.954,6.0318,2.2619,1.508,0,0.754,97.26,0.626599599,0,25.63251441,0.909196159,0.290528052,1.28913642,0,0.75690075,29.5,0.78,0,88.37,6.2,2.33,1.55,0,0.78,2.12,0,86.88,3.08,0.98,4.37,0,2.57,2.159283137
28/03/2017,3.7699,1.508,109.3275,3.7699,18.0955,0,0,0.754,137.22,3.13291489,0.404063573,23.81575718,0.88388488,9.338613016,0,0,0.75690075,38.33,2.75,1.1,79.67,2.75,13.19,0,0,0.55,8.17,1.05,62.13,2.31,24.36,0,0,1.97,1.998401929
04/05/2017,4.5239,0,206.5913,1.508,973.391,0,0,0.754,1186.77,3.759514489,0,72.06815441,0.046798267,146.0698385,0,0,0.75690075,222.7,0.38,0,17.41,0.13,82.02,0,0,0.06,1.69,0,32.36,0.02,65.59,0,0,0.34,0.852029579
08/06/2017,1.508,147.7806,95.756,18.0956,536.0813,0,0,0,799.22,1.253199198,22.41168898,33.85442663,3.32358551,117.957942,0,0,0,178.8,0.19,18.49,11.98,2.26,67.08,0,0,0,0.7,12.53,18.93,1.86,65.97,0,0,0,1.336625938
17/07/2017,4.5239,354.3717,118.3753,15.8336,321.1964,0,0,0,814.3,3.759514489,53.49460911,16.14757218,0.91835069,109.0626623,0,0,0,183.38,0.56,43.52,14.54,1.94,39.44,0,0,0,2.05,29.17,8.81,0.5,59.47,0,0,0,1.508314314
04/08/2017,2.2619,47.5009,197.5433,15.0796,9.0477,0,0,0,271.43,1.879715693,7.146806811,85.91294225,2.023876859,8.17647512,0,0,0,105.14,0.83,17.5,72.78,5.56,3.33,0,0,0,1.79,6.8,81.71,1.92,7.78,0,0,0,2.375163112
20/09/2017,6.7858,62.5806,86.708,61.0725,82.938,0,0,0,300.08,5.639230182,4.582093823,22.8917867,14.27831165,45.72527987,0,0,0,93.12,2.26,20.85,28.89,20.35,27.64,0,0,0,6.06,4.92,24.58,15.33,49.11,0,0,0,2.452984231
25/10/2017,6.7858,62.5805,91.9857,11.3098,15.0797,0,0,0.754,188.5,5.639230182,3.684426938,43.58388103,7.182727104,15.96591102,0,0,0.75690075,76.81,3.6,33.2,48.8,6,8,0,0,0.4,7.34,4.8,56.74,9.35,20.79,0,0,0.99,2.115808005
16/11/2017,2.2619,45.2389,83.6921,11.3098,17.3416,0,0,3.0159,162.86,1.879715693,6.806474796,23.45365478,4.689478713,4.565648886,0,0,3.027502617,44.42,1.39,27.78,51.39,6.94,10.65,0,0,1.85,4.23,15.32,52.8,10.56,10.28,0,0,6.82,2.223625669
