Date,GR_Q,BR_Q
28/05/2004,0.147027155,0.405794947
29/05/2004,0.179950135,0.496662372
30/05/2004,0.157659523,0.435140282
31/05/2004,0.142022317,0.391981595
01/06/2004,0.139219296,0.384245257
02/06/2004,0.134664777,0.371674785
03/06/2004,0.147761907,0.407822862
04/06/2004,0.210702566,0.581539082
05/06/2004,0.22104825,0.610093171
06/06/2004,0.177929602,0.491085703
07/06/2004,0.163044657,0.450003254
08/06/2004,0.14526233,0.400924032
09/06/2004,0.161368489,0.445377028
10/06/2004,0.21926712,0.605177252
11/06/2004,0.329134394,0.908410927
12/06/2004,0.248075172,0.684687474
13/06/2004,0.169888221,0.46889149
14/06/2004,0.145666619,0.402039869
15/06/2004,0.160450142,0.442842393
16/06/2004,0.166444801,0.459387652
17/06/2004,0.372560154,1.028266025
18/06/2004,0.30546657,0.843087733
19/06/2004,0.21452448,0.592087565
20/06/2004,0.214121884,0.5909764
21/06/2004,0.178818562,0.493539232
22/06/2004,0.712794289,1.967312237
23/06/2004,5.007397805,13.82041794
24/06/2004,0.742144647,2.048319226
25/06/2004,0.29148336,0.804494073
26/06/2004,0.578724908,1.597280746
27/06/2004,0.47606807,1.313947872
28/06/2004,0.956191881,2.63908959
29/06/2004,0.688730786,1.900896969
30/06/2004,0.694138174,1.91582136
01/07/2004,0.757521456,2.090759219
02/07/2004,1.085355754,2.995581882
03/07/2004,1.218753509,3.363759684
04/07/2004,0.607300576,1.676149591
05/07/2004,0.28284454,0.780650931
06/07/2004,0.219015547,0.604482911
07/07/2004,0.193266453,0.53341541
08/07/2004,0.189339943,0.522578243
09/07/2004,0.236199031,0.651909325
10/07/2004,0.256823951,0.708834104
11/07/2004,0.228274757,0.630038329
12/07/2004,0.192546887,0.531429409
13/07/2004,0.173443506,0.478704076
14/07/2004,0.592160639,1.634363362
15/07/2004,0.319364617,0.881446342
16/07/2004,0.220110236,0.607504251
17/07/2004,0.283216029,0.78167624
18/07/2004,0.216672011,0.598014751
19/07/2004,0.565622175,1.561117203
20/07/2004,1.876415949,5.178908018
21/07/2004,0.547522329,1.511161628
22/07/2004,0.265999897,0.734159717
23/07/2004,0.20853307,0.575551274
24/07/2004,0.211751545,0.584434264
25/07/2004,3.167938804,8.743511098
26/07/2004,2.052076682,5.663731642
27/07/2004,0.402608899,1.11120056
28/07/2004,0.255477138,0.705116901
29/07/2004,1.54900044,4.275241213
30/07/2004,0.421517934,1.163389498
31/07/2004,0.268710977,0.741642297
01/08/2004,0.244661983,0.675267073
02/08/2004,1.018117773,2.810005053
03/08/2004,0.711915979,1.964888103
04/08/2004,0.275357814,0.759987566
05/08/2004,0.207111037,0.571626462
06/08/2004,0.239533788,0.661113255
07/08/2004,0.197725404,0.545722115
08/08/2004,0.181768986,0.501682401
09/08/2004,0.164907867,0.455145712
10/08/2004,0.151161136,0.417204736
11/08/2004,0.146024687,0.403028135
12/08/2004,0.298067283,0.8226657
13/08/2004,0.263966672,0.728548014
14/08/2004,0.201770667,0.556887042
15/08/2004,0.18291804,0.504853789
16/08/2004,0.217909189,0.601429362
17/08/2004,0.546106322,1.507253448
18/08/2004,0.234324231,0.646734878
19/08/2004,1.34059456,3.700040985
20/08/2004,0.460420101,1.270759478
21/08/2004,0.235948414,0.651217623
22/08/2004,0.29796587,0.822385802
23/08/2004,4.390302756,12.11723561
24/08/2004,2.600381713,7.177053528
25/08/2004,0.913148972,2.520291163
26/08/2004,2.913948865,8.042498869
27/08/2004,1.173729336,3.239492968
28/08/2004,0.353631694,0.976023477
29/08/2004,0.594262318,1.640163998
30/08/2004,0.468220257,1.29228791
31/08/2004,0.244155095,0.673868062
01/09/2004,0.777783574,2.146682663
02/09/2004,0.63824155,1.761546679
03/09/2004,1.525761031,4.211100446
04/09/2004,1.281236124,3.536211702
05/09/2004,0.845605386,2.333870865
06/09/2004,0.544916524,1.503969606
07/09/2004,0.303084844,0.836514168
08/09/2004,0.220271563,0.607949515
09/09/2004,0.187891487,0.518580505
10/09/2004,0.2765191,0.763192717
11/09/2004,1.571908636,4.338467836
12/09/2004,5.088212608,14.0434668
13/09/2004,2.667990002,7.363652405
14/09/2004,1.490105415,4.112690946
15/09/2004,1.157127217,3.193671119
16/09/2004,4.067024542,11.22498774
17/09/2004,0.628937368,1.735867135
18/09/2004,0.929700354,2.565972977
19/09/2004,4.501631975,12.42450425
20/09/2004,2.081381286,5.744612351
21/09/2004,0.580357985,1.601788037
22/09/2004,3.727599206,10.28817381
23/09/2004,2.914829975,8.044930732
24/09/2004,0.443075152,1.222887419
25/09/2004,0.830733976,2.292825773
26/09/2004,1.642987637,4.534645877
27/09/2004,2.14779023,5.927901034
28/09/2004,1.18188264,3.261996088
29/09/2004,2.245858503,6.19856947
30/09/2004,1.328573588,3.666863102
01/10/2004,1.292881123,3.568351901
02/10/2004,1.4897487,4.111706411
03/10/2004,1.120868079,3.093595899
04/10/2004,1.797320359,4.960604191
05/10/2004,1.340558953,3.699942711
06/10/2004,1.550530319,4.279463681
07/10/2004,0.917981729,2.533629573
08/10/2004,0.483753525,1.33515973
09/10/2004,0.299693107,0.827152975
10/10/2004,0.23659127,0.652991904
11/10/2004,0.208865331,0.576468314
12/10/2004,0.193976087,0.535373999
13/10/2004,0.996769904,2.751084934
14/10/2004,1.298024285,3.582547025
15/10/2004,0.50929222,1.405646527
16/10/2004,0.454954625,1.255674764
17/10/2004,0.352661682,0.973346243
18/10/2004,2.041543439,5.634659891
19/10/2004,2.425310923,6.693858147
20/10/2004,1.058581647,2.921685344
21/10/2004,0.782142572,2.1587135
22/10/2004,0.39418781,1.087958355
23/10/2004,0.280454883,0.774055476
24/10/2004,2.517936006,6.949503376
25/10/2004,1.511272923,4.171113267
26/10/2004,0.940695312,2.596319061
27/10/2004,1.43799522,3.968866806
28/10/2004,1.884352212,5.200812106
29/10/2004,0.421410989,1.163094331
