sp1;sp2 ;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65
0;220916.8;0;68612.4;133454.9;0;0;0;0;0;0;2261.9;21865.5;0;0;0;0;0;6031.9;0;0;4523.9;9801.8;0;1508;0;0;0;0;0;0;0;0;0;2261.9;1508;0;0;0;6785.8;0;0;0;0;12063.7;2261.9;754;0;0;0;0;12063.7;17341.6;0;24127.4;0;0;0;0;0;0;0;48254.9;21111.5;0
0;198297.3;0;3015.9;24881.4;0;0;0;0;754;0;0;4523.9;0;0;0;0;19603.5;0;1508;0;1508;2261.9;0;3015.9;0;0;0;0;0;0;0;0;3015.9;754;0;0;0;0;0;0;0;0;0;13571.7;8293.8;1508;0;2261.9;0;0;15833.6;0;0;262385.8;1508;4523.9;0;0;0;0;0;73136.3;91231.9;0
67104.4;88969.9;0;0;27143.4;0;40;0;2261.9;2261.9;0;5277.9;8293.8;0;0;0;0;20357.5;24127.4;4523.9;0;4523.9;3015.9;3015.9;0;0;0;0;0;0;0;0;0;3015.9;0;0;0;754;0;11309.7;0;0;0;0;10555.8;34683.2;0;0;23373.4;0;0;9801.8;2261.9;0;433539.8;26389.4;18095.6;0;0;0;0;0;3015.9;24127.4;0
0;8293.8;0;0;39961.1;0;0;0;754;0;0;0;22619.5;0;0;0;0;12817.7;4523.9;11309.7;0;11309.7;0;3769.9;754;0;0;0;0;0;0;0;0;0;0;2261.9;754;0;0;6785.8;0;0;0;0;1508;19603.5;754;0;3015.9;0;0;18095.6;7539.8;0;18095.6;754;4523.9;0;0;0;0;0;13571.7;6031.9;0
194527.4;236750.4;0;0;54286.7;0;0;0;2261.9;2261.9;0;9047.8;6785.8;0;0;0;0;24881.4;3015.9;7539.8;0;9801.8;2261.9;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;10555.8;21111.5;0;0;3769.9;0;0;22619.5;1508;0;245044.2;7539.8;0;0;0;0;0;0;14325.7;23373.4;0
0;4523.9;0;33175.2;45238.9;0;0;0;0;754;0;754;28651.3;0;0;0;0;3769.9;0;0;0;3769.9;754;3015.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;9047.8;0;0;0;226194.7;0;1508;1508;0;0;0;0;0;0;1508;0;0;754;0;0
0;1508;0;58810.6;28651.3;0;0;0;0;0;0;754;28651.3;0;0;0;0;0;0;5277.9;0;5277.9;0;4523.9;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;2261.9;0;0;754;6785.8;0;0;1508;0;0;2261.9;754;0;3015.9;0;0;0;0;0;0;0;15079.6;15833.6;0
0;9801.8;0;9047.8;33929.2;0;0;0;0;0;0;4523.9;26389.4;0;0;0;0;0;0;2261.9;0;1508;0;3015.9;0;754;0;0;0;0;0;0;0;0;0;0;754;0;754;4523.9;0;0;0;0;754;2261.9;0;0;0;0;0;1508;754;0;1508;0;0;0;0;0;0;0;0;0;0
40715;13571.7;0;6785.8;39961.1;0;0;0;0;754;754;2261.9;24881.4;0;0;0;0;0;0;2261.9;0;3769.9;0;754;0;0;0;0;0;0;0;0;0;1508;0;754;0;754;754;0;0;0;0;0;0;754;0;0;0;0;0;1508;0;0;0;0;0;0;0;754;0;0;9801.8;25635.4;0
0;0;0;24881.4;26389.4;0;0;0;0;0;754;754;5277.9;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;3015.9;0;754;2261.9;0;0;0;0;0;754;0;0;0;0;0;0;2261.9;0;0;0;0;0;0;0;0;0;0;754;0;0
0;0;0;62580.5;42223;0;0;0;0;0;0;1508;4523.9;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;3015.9;0;0;2261.9;0;0;0;0;0;0;0;0;0;0;7539.8;0;0
0;52778.8;0;180201.8;52024.8;0;0;0;0;0;0;3769.9;6785.8;0;0;0;0;0;0;0;0;0;754;754;0;0;75398.2;0;0;754;0;0;0;0;0;0;0;0;1508;0;0;0;0;0;1508;754;0;0;0;0;0;4523.9;754;0;9801.8;0;0;0;0;0;0;0;0;4523.9;0
0;133454.9;0;138732.7;12063.7;0;0;0;0;0;0;1508;8293.8;0;0;0;0;0;0;754;0;754;0;0;1508;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;1508;0;0;754;754;0;3015.9;0;0;0;0;0;0;0;6785.8;0;0
0;119883.2;0;84446;12817.7;0;0;0;0;0;0;6785.8;6031.9;0;0;0;0;0;0;1508;0;0;2261.9;754;0;0;30159.3;0;1508;0;0;0;0;1508;1508;0;0;754;0;6031.9;0;0;0;0;754;2261.9;0;2261.9;0;0;0;1508;10555.8;0;156828.3;754;0;0;0;0;0;0;1508;15079.6;0
0;24127.4;0;0;4523.9;0;0;0;0;0;0;754;3015.9;0;0;0;0;6031.9;0;8293.8;0;3769.9;3015.9;1508;754;1508;0;0;0;0;0;0;0;4523.9;5277.9;754;0;2261.9;754;0;0;0;0;0;754;2261.9;0;0;3769.9;0;0;11309.7;754;0;44485;0;0;0;0;0;0;0;20357.5;25635.4;0
0;8293.8;0;6031.9;3769.9;0;0;0;2261.9;0;0;1508;754;0;0;0;0;6031.9;0;6031.9;0;2261.9;2261.9;1508;1508;0;0;0;0;0;0;0;0;1508;754;0;0;754;1508;0;0;0;0;0;754;3769.9;0;0;6031.9;0;0;3015.9;2261.9;0;23373.4;0;0;0;0;0;0;0;754;4523.9;0
12063.7;5277.9;0;6031.9;19603.5;0;0;0;754;2261.9;6031.9;4523.9;754;0;0;0;0;16587.6;0;24127.4;0;6785.8;0;6031.9;0;754;0;5277.9;0;0;0;0;0;0;0;0;0;0;2261.9;0;0;0;754;0;0;9801.8;0;0;10555.8;22619.5;0;8293.8;7539.8;0;12063.7;0;0;0;0;0;0;0;30159.3;24127.4;0
0;20357.5;0;19603.5;10555.8;113097.3;0;5277.9;0;0;0;4523.9;1508;0;0;0;0;0;28651.3;5277.9;0;4523.9;1508;8293.8;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;0;1508;6785.8;0;0;6031.9;226194.7;0;3769.9;754;0;9801.8;0;0;0;0;0;0;0;9801.8;13571.7;226194.7
0;6031.9;0;3015.9;28651.3;0;0;0;0;754;0;2261.9;4523.9;0;0;0;0;0;0;6031.9;0;3769.9;0;3015.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3015.9;11309.7;0;0;0;0;0;754;0;0;3015.9;0;0;1508;0;0;2261.9;1508;0;0;0;0;0;0;1508;0;0
0;3015.9;0;74644.2;19603.5;0;0;0;3015.9;0;0;3015.9;3769.9;0;0;0;0;0;0;3015.9;0;1508;0;6031.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3015.9;12817.7;0;754;0;0;754;1508;0;0;1508;0;0;2261.9;0;0;3015.9;0;0;0;0;0;0;0;6031.9;0;226194.7
0;0;0;31667.3;6031.9;0;0;0;0;0;0;1508;3769.9;0;0;0;0;6031.9;0;0;0;3015.9;0;754;0;0;0;0;0;0;0;0;0;0;0;0;1508;754;1508;0;0;0;0;0;754;0;0;0;3015.9;75398.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
