sp1;sp2 ;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65
27143.4;7539.8;0;0;0;0;0;0;0;0;0;4523.9;0;0;0;0;0;0;0;6785.8;0;0;754;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6031.9;0;3769.9;0;0;0;0;0;0;0;113851.3;0;0;0;0;11309.7;3015.9;0;0;0;0
0;76906.2;0;9047.8;9047.8;0;0;0;0;0;0;6031.9;25635.4;0;0;0;0;24127.4;12063.7;9047.8;0;7539.8;0;754;0;0;0;12817.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4523.9;0;1508;10555.8;0;0;0;79922.1;0;0;569256.6;0;0;0;0;3769.9;6785.8;0;0;67858.4;0
80676.1;120637.2;0;6031.9;27143.4;0;0;0;0;0;0;3015.9;52778.8;10555.8;0;0;0;9047.8;4523.9;6031.9;0;3015.9;0;1508;0;0;0;10555.8;0;0;0;0;0;0;0;9047.8;0;754;0;8293.8;0;0;0;0;754;0;0;754;0;0;0;0;95755.7;0;57302.7;0;0;0;0;3015.9;1508;0;0;35437.2;0
27897.3;10555.8;0;0;24127.4;0;0;0;0;0;0;6031.9;5277.9;2261.9;0;0;0;0;0;8293.8;0;1508;0;1508;0;0;0;6031.9;0;0;0;37699.1;0;0;0;1508;0;0;0;1508;0;0;0;0;2261.9;0;0;36945;1508;0;0;0;21865.5;0;45238.9;0;0;0;0;3769.9;2261.9;0;0;15079.6;0
0;12817.7;0;0;45992.9;0;0;0;0;0;0;7539.8;14325.7;754;0;0;0;0;0;7539.8;0;3769.9;0;1508;0;0;0;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;0;0;0;0;0;0;0;7539.8;0;0;0;0;0;754;3769.9;754;0;0;0;0
0;7539.8;0;1508;29405.3;0;0;0;0;0;0;2261.9;12063.7;0;0;0;0;0;0;754;0;754;0;7539.8;0;0;0;0;0;0;7540;0;0;0;0;0;0;0;0;1508;0;0;0;0;0;0;0;0;1508;0;0;0;3015.9;0;13571.7;0;0;0;0;0;754;0;0;0;0
0;754;0;3015.9;12817.7;0;0;0;0;0;0;2261.9;9047.8;0;0;0;0;0;0;2261.9;0;4523.9;0;0;754;0;0;0;0;0;0;0;0;0;0;1508;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;0;2261.9;0;0;0;0;3769.9;2261.9;0;0;0;0
0;754;0;21111.5;33929.2;0;0;0;0;0;0;0;4523.9;0;0;0;0;0;0;1508;0;3015.9;0;1508;0;0;0;0;0;0;0;0;0;0;0;2261.9;1508;0;0;0;0;0;0;17342;0;754;0;0;0;0;0;0;2261.9;0;3015.9;0;0;0;754;6785.8;1508;0;0;0;0
0;3769.9;0;30159.3;21865.5;0;0;0;0;0;0;0;9801.8;0;0;0;0;0;0;754;0;2261.9;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;0;0;0;0;0;0;2261.9;0;0;0;0;0
0;48254.9;0;95755.7;59564.6;0;0;0;0;0;0;5277.9;3015.9;754;0;0;0;0;0;2261.9;0;1508;1508;754;0;0;0;0;0;0;0;0;0;0;0;2261.9;0;754;0;0;0;0;0;0;1508;0;0;0;0;0;0;0;5277.9;0;58810.6;0;0;0;0;13571.7;6785.8;0;0;7539.8;0
