Date,wtr_2.5,wtr_5,wtr_8,wtr_11,wtr_14,wtr_16,wtr_18,wtr_20,wtr_22,wtr_27,wtr_32,wtr_42,wtr_mean,ss
01/02/2004,6.009027639,6.021778333,6.034529028,6.0382325,6.039433056,6.039604583,6.039604028,6.039638333,6.039672639,6.039672222,6.039672222,6.039634444,6.035041586,-0.421224338
02/02/2004,6.105413333,6.1249875,6.144561667,6.202955417,6.225489306,6.241539306,6.188198472,6.199694028,6.167115417,6.187123056,6.143666111,6.087178472,6.168160174,-1.01675759
03/02/2004,6.462706111,6.468251389,6.473796667,6.54111375,6.537687639,6.577041528,6.480828472,6.502637639,6.472916944,6.476783333,6.461889167,6.425736944,6.490115799,-0.258909299
04/02/2004,6.689209028,6.716207847,6.743206667,6.766536667,6.735028056,6.77548125,6.67055375,6.690043611,6.658449306,6.654030278,6.5866825,6.473590556,6.679918293,1.58917663
05/02/2004,6.787957361,6.800818889,6.813680417,6.849116806,6.836046806,6.870131806,6.858519583,6.868892917,6.87816625,6.882441944,6.857196111,6.731950833,6.83624331,-1.514624272
06/02/2004,6.853900972,6.868474583,6.883048194,6.887375,6.889303056,6.890256528,6.889921389,6.890162361,6.890162222,6.890231528,6.890231528,6.890232917,6.88444169,-0.705275979
07/02/2004,6.88730125,6.885186875,6.8830725,6.882889861,6.887282917,6.889899028,6.87912375,6.88207625,6.868973056,6.88100625,6.871556944,6.8262025,6.877047598,0.349423984
08/02/2004,6.685140833,6.635629236,6.586117639,6.65563625,6.59145375,6.729418333,6.510695972,6.519668889,6.472817639,6.494415417,6.473112917,6.465174306,6.568273432,3.520544356
09/02/2004,6.530353194,6.503385208,6.476417222,6.520183194,6.474939861,6.544387222,6.465918889,6.466804444,6.46510125,6.465026389,6.4649525,6.4649525,6.48686849,1.009284728
10/02/2004,6.680321111,6.673472569,6.666624028,6.737239444,6.641129583,6.773852222,6.549315833,6.564488889,6.496520278,6.556263194,6.499180972,6.465094861,6.608625249,3.176757404
11/02/2004,6.736398472,6.761635417,6.786872361,6.808571944,6.75323125,6.822560556,6.644340139,6.664428056,6.593845278,6.612685972,6.530005833,6.466169722,6.68172875,3.531046341
12/02/2004,6.772862222,6.782545972,6.792229722,6.810146528,6.812908333,6.8680975,6.743271667,6.763034028,6.681421389,6.763738472,6.691407917,6.56345625,6.75376,1.402009329
13/02/2004,6.774826944,6.766962986,6.759099028,6.773698194,6.781779583,6.806204861,6.739717917,6.754936806,6.69425125,6.764119583,6.703906944,6.572591806,6.741007992,1.201401257
14/02/2004,6.819573889,6.815412639,6.811251389,6.837339861,6.810605694,6.863600833,6.739010833,6.777274583,6.678216944,6.727816667,6.653983333,6.5171675,6.754271181,2.870917138
15/02/2004,6.839301389,6.851436944,6.8635725,6.876468472,6.878799722,6.888821111,6.807492639,6.843109028,6.749174861,6.778377222,6.674523611,6.513503611,6.797048426,2.505338841
16/02/2004,6.792565,6.817387153,6.842209306,6.857925694,6.871481667,6.877030139,6.863396528,6.880735972,6.852132778,6.868051944,6.829011806,6.689580556,6.836792378,-0.862096116
17/02/2004,6.826158889,6.793542917,6.760926944,6.779066944,6.738368056,6.801340417,6.693913889,6.711654028,6.653546389,6.744455417,6.691188611,6.559991389,6.729512824,2.742044226
18/02/2004,6.767996528,6.742161944,6.716327361,6.781124722,6.748032222,6.860853194,6.634743472,6.685852083,6.591648472,6.630164444,6.55651375,6.479567917,6.682915509,3.260354807
19/02/2004,6.580972917,6.557718125,6.534463333,6.579384028,6.53568375,6.647835278,6.502090417,6.505844444,6.473085278,6.492707361,6.478909167,6.468402222,6.529758027,1.612980672
20/02/2004,6.533074028,6.513374167,6.493674306,6.539797361,6.488560556,6.611999306,6.476939722,6.464662083,6.46190625,6.465430556,6.464985278,6.464945694,6.498279109,1.053831784
21/02/2004,6.464850139,6.464900417,6.464950694,6.465061667,6.464950556,6.473993889,6.464950556,6.464950556,6.464950556,6.464950139,6.464950139,6.464913194,6.465697708,-0.014151005
22/02/2004,6.464783333,6.464850417,6.4649175,6.464951944,6.464951944,6.464951944,6.464878056,6.464951944,6.464471944,6.464951944,6.464915,6.461000833,6.464548067,0.00762637
23/02/2004,6.435050417,6.444379514,6.453708611,6.460599583,6.461001111,6.464912361,6.443197778,6.451062361,6.406201667,6.462549306,6.443937778,6.317411667,6.437001013,0.180457413
24/02/2004,6.441189444,6.451403681,6.461617917,6.464264583,6.46460875,6.464917639,6.464951806,6.464951806,6.464767222,6.464951806,6.463733056,6.412074722,6.456952703,-0.272796535
25/02/2004,6.463137083,6.460777361,6.458417639,6.463399722,6.448591944,6.464951944,6.427913889,6.43131125,6.360425,6.382208889,6.293787917,6.090305,6.395435637,2.427011807
26/02/2004,6.225939444,6.189134514,6.152329583,6.195484167,6.152400417,6.314945833,6.116410278,6.11537625,6.064844028,6.081525972,6.051444722,6.040077361,6.141659381,2.195494127
27/02/2004,6.039671806,6.039671806,6.039671806,6.040630694,6.039672639,6.041296667,6.039635694,6.039672639,6.039635694,6.039672778,6.039525278,6.030628889,6.039115532,0.015103969
28/02/2004,6.01938,5.992458958,5.965537917,5.98810875,5.9744075,6.014710278,5.980793611,5.984510417,5.971984444,5.995244861,5.992673889,5.911118333,5.982577413,0.418175555
29/02/2004,6.006115278,6.007598819,6.009082361,6.020817222,6.026113194,6.032850833,6.023881944,6.031049306,6.009928333,6.033889444,6.006525694,5.702557361,5.992534149,0.256505279
01/03/2004,6.012086528,6.013220417,6.014354306,6.025054861,6.021456389,6.038427917,5.99671125,6.002238611,5.929552639,6.007927083,5.937637917,5.71998125,5.976554097,1.056005087
02/03/2004,5.894304306,5.824326389,5.754348472,5.791195694,5.732568889,5.894889722,5.672916528,5.682660694,5.646630139,5.678047222,5.641312917,5.616504861,5.735808819,2.87709103
03/03/2004,5.890736944,5.882776319,5.874815694,5.905731806,5.881652917,5.971802917,5.822045417,5.842542222,5.777000417,5.873267361,5.82636875,5.724609861,5.856112552,0.923584374
04/03/2004,6.033406528,6.009923958,5.986441389,5.995487917,5.954122222,5.997902083,5.953681528,5.961212778,5.945590972,5.976899583,5.970557222,5.851114861,5.969695087,1.159686866
05/03/2004,6.144957083,6.113198264,6.081439444,6.092062222,6.020352361,6.077315833,5.986114028,5.966998194,5.899106528,5.931153611,5.861060417,5.762421111,5.994681591,3.852954881
06/03/2004,6.165159722,6.118443889,6.071728056,6.145905417,6.026999722,6.130349583,5.996851667,5.99280125,5.943942778,5.946239028,5.87526625,5.788115,6.016816863,3.689956783
07/03/2004,6.16163,6.10511125,6.0485925,6.093423889,6.005080556,6.075754444,5.991598889,5.986421944,5.976865972,5.991000972,5.990610972,5.881812639,6.025658669,2.718247394
08/03/2004,6.091328889,6.071860833,6.052392778,6.048075833,6.039711111,6.046575833,6.039674306,6.039674306,6.039674306,6.039673333,6.039673333,6.004787917,6.046091898,0.798927871
09/03/2004,6.039541111,6.039608611,6.039676111,6.039676111,6.039676111,6.039676111,6.039675417,6.039675417,6.039675417,6.039675417,6.039675417,6.039598056,6.039652442,-0.001607936
10/03/2004,6.039674167,6.039674167,6.039674167,6.039673889,6.039674861,6.039674861,6.039674861,6.039674861,6.039490139,6.039675833,6.038679028,6.00623125,6.03678934,0.062324128
11/03/2004,5.874887361,5.847104722,5.819322083,5.819693056,5.820540556,5.876398056,5.785765139,5.787130972,5.739105139,5.749071667,5.71521875,5.656964028,5.790933461,1.792415297
12/03/2004,5.662975833,5.643456458,5.623937083,5.629296944,5.614996389,5.624779861,5.6144,5.6144,5.6144,5.614365833,5.6144,5.6144,5.623817367,0.54516392
13/03/2004,5.688804306,5.659583889,5.630363472,5.657495278,5.625816111,5.695519028,5.616763889,5.616135972,5.614436944,5.6144,5.6144,5.614401389,5.637343356,0.781298136
14/03/2004,5.841242361,5.837302222,5.833362083,5.871619028,5.854562639,5.932370417,5.827002361,5.83326,5.784980139,5.797581667,5.756418333,5.672839306,5.820211713,0.793640073
15/03/2004,5.964572083,5.960201111,5.955830139,5.995592917,5.975754306,6.03315125,5.982465694,5.993093611,6.006772222,6.034335972,6.031008611,5.974482778,5.992271725,-0.894625045
16/03/2004,6.252362778,6.267124653,6.281886528,6.322856111,6.333267083,6.374250278,6.319600972,6.331770556,6.308515278,6.288280417,6.222564167,6.069608056,6.28100724,-0.201349851
17/03/2004,6.631698194,6.599678194,6.567658194,6.581060556,6.514551111,6.534395278,6.480768333,6.453082361,6.408664306,6.413996111,6.410490278,6.284638056,6.490056748,4.342602898
18/03/2004,6.833528889,6.841585972,6.849643056,6.873831806,6.827631389,6.870158611,6.700429444,6.663575556,6.562149444,6.532777361,6.465391667,6.407345972,6.702337431,6.450135022
19/03/2004,6.825535139,6.803456597,6.781378056,6.836902083,6.688365972,6.832743333,6.610902778,6.595910694,6.526239167,6.591443472,6.499283889,6.464834861,6.671416337,5.882971203
20/03/2004,6.805251806,6.818750833,6.832249861,6.864632083,6.851224861,6.883685556,6.828164028,6.836604028,6.796304722,6.859161528,6.830251389,6.726565278,6.827737164,-0.297932814
21/03/2004,6.883530417,6.885666042,6.887801667,6.888740278,6.888718611,6.889818333,6.888829028,6.889031667,6.880273194,6.888608889,6.877542361,6.769332222,6.876491059,0.282712049
22/03/2004,6.825209444,6.797468611,6.769727778,6.801688889,6.821282639,6.879111944,6.76779125,6.756560833,6.655874722,6.779703333,6.697557361,6.528011528,6.756665694,2.166154945
23/03/2004,6.780665139,6.757923958,6.735182778,6.858437361,6.761841528,6.87358625,6.715035694,6.699105972,6.612500972,6.725355417,6.647483611,6.483631944,6.720895885,2.352710249
24/03/2004,6.77612625,6.761872431,6.747618611,6.852480278,6.725362083,6.858908194,6.69806,6.689955694,6.640803333,6.680763056,6.603223333,6.470486667,6.708804994,2.850042935
25/03/2004,6.814033889,6.834549028,6.855064167,6.870781389,6.880326111,6.884802222,6.884542639,6.887589028,6.877051667,6.880161944,6.854663333,6.750375694,6.856161759,-0.935141573
26/03/2004,6.9267025,6.896839931,6.866977361,6.938915694,6.862378889,6.96869125,6.866820556,6.831299028,6.834261667,6.858258194,6.867128194,6.864930278,6.881933628,1.270455358
27/03/2004,7.062450833,6.987988125,6.913525417,7.027130556,6.866240139,7.040907639,6.871469167,6.843091389,6.834818194,6.850622222,6.857751944,6.875289583,6.919273767,4.112426574
28/03/2004,7.418722639,7.303303194,7.18788375,7.208325972,7.14690875,7.225293333,7.120369028,6.98183125,6.882594167,6.856782222,6.850030694,6.873597917,7.087970243,11.7528192
29/03/2004,7.601037778,7.432084097,7.263130417,7.248967222,7.140921528,7.196326111,7.009186806,6.917712361,6.868515278,6.880272639,6.87501375,6.859552917,7.107726742,16.61268745
30/03/2004,7.698342917,7.579277014,7.460211111,7.438995139,7.327265139,7.369005417,7.166876944,7.132018056,7.074789306,7.049302083,6.967367778,6.892044583,7.262957957,16.52511452
31/03/2004,7.433063056,7.422081944,7.411100833,7.429869444,7.417646944,7.488223472,7.382035139,7.385733472,7.362030278,7.396749444,7.312804583,7.039929722,7.373439028,2.467992165
01/04/2004,7.654541667,7.644993056,7.635444444,7.666583333,7.652583333,7.677916667,7.66875,7.680944444,7.670402778,7.687805556,7.604166667,7.376555556,7.635057292,0.499507764
02/04/2004,7.822666667,7.805569444,7.788472222,7.773847222,7.720958333,7.748930556,7.704791667,7.711902778,7.709555556,7.709791667,7.658777778,7.340722222,7.707998843,4.743866257
03/04/2004,8.000972222,7.973215278,7.945458333,7.948541667,7.804847222,7.804375,7.728777778,7.732819444,7.733902778,7.731069444,7.664888889,7.405333333,7.789516782,9.778501364
04/04/2004,7.881430556,7.844958333,7.808486111,7.937097222,7.768416667,7.904,7.726736111,7.727763889,7.734416667,7.739736111,7.701055556,7.428819444,7.766909722,5.072283359
05/04/2004,7.727083333,7.725215278,7.723347222,7.737361111,7.736819444,7.756444444,7.737472222,7.739041667,7.739694444,7.74,7.74,7.706055556,7.73404456,-0.361699724
06/04/2004,7.769881944,7.754940972,7.74,7.86,7.74,7.901291667,7.74,7.74,7.74,7.74,7.74,7.74,7.767176215,0.474488039
07/04/2004,7.820333333,7.776,7.731666667,8.071270833,7.741013889,8.097118056,7.750194444,7.730770833,7.711305556,7.754611111,7.741583333,7.725090278,7.804246528,1.464763745
08/04/2004,7.888319444,7.875902778,7.863486111,8.039805556,7.816666667,8.1585,7.781791667,7.768458333,7.744152778,7.785361111,7.758277778,7.739611111,7.851694444,3.193121896
09/04/2004,8.049652778,8.041784722,8.033916667,8.259791667,8.017652778,8.285722222,7.979,7.959625,7.896319444,7.874708333,7.766361111,7.741708333,7.992186921,5.559309471
10/04/2004,8.246125,8.228777778,8.211430556,8.459902778,8.171166667,8.502402778,8.137375,8.128944444,8.120472222,8.102291667,7.894916667,7.741625,8.162119213,6.542146471
